variables="k","x","y","vx","vy","pressure"
zone i=8064 j=1
64	1.0790e-01	-5.6914e-03	-4.3656e-02	1.0200e-02	2.0559e+03
65	-3.1334e-03	2.3982e-03	-1.1220e-01	-6.1499e-02	2.1149e+03
66	8.3149e-02	-3.9188e-03	1.1670e-02	1.6783e-01	2.4866e+03
67	1.5555e-01	1.9190e-01	-7.4601e-02	1.6815e-01	1.1560e+03
68	7.4280e-02	1.0310e-01	-1.1227e-01	-3.0063e-02	1.8421e+03
69	1.1804e-01	1.5849e-01	-1.2955e-01	1.0331e-01	1.4779e+03
70	5.7419e-03	1.4393e-01	8.6322e-02	1.2478e-01	1.4771e+03
71	2.9459e-01	1.1411e-03	1.3031e-01	-2.2793e-02	2.5263e+03
72	4.6891e-01	5.0321e-02	2.5869e-01	1.6424e-01	2.4850e+03
73	1.7044e-01	4.3238e-02	-1.9708e-02	-3.8562e-03	2.4665e+03
74	2.9513e-01	2.6780e-01	-2.2664e-01	-3.2435e-01	5.5760e+02
75	7.9286e-01	2.8369e-01	3.8497e-02	-2.5687e-01	8.8451e+02
76	2.4549e-01	3.5108e-03	5.7251e-03	2.0407e-01	2.4805e+03
77	2.1301e-01	2.3924e-01	-8.6650e-02	1.1985e-01	7.4381e+02
78	1.7012e-01	2.5639e-01	1.2959e-02	8.9278e-02	6.1160e+02
79	1.8010e-01	1.4572e-01	-1.1661e-01	2.9114e-02	1.7374e+03
80	1.8052e-01	2.8543e-01	-9.4835e-02	5.6124e-02	1.7921e+02
81	4.3396e-01	5.0497e-02	1.8793e-01	9.9937e-02	2.4950e+03
82	2.9660e-01	2.0754e-01	-7.9824e-02	-3.2324e-01	9.5840e+02
83	8.0373e-01	1.5355e-01	2.2172e-01	-3.5357e-01	1.9861e+03
84	1.1419e-01	2.2041e-01	2.0703e-02	8.8900e-02	8.8551e+02
85	8.2463e-01	2.4692e-01	4.1878e-01	-1.3167e-01	9.3416e+02
86	1.7239e-01	1.4883e-01	-1.2416e-01	4.9233e-02	1.7110e+03
87	1.6048e-01	1.5892e-01	-1.6752e-01	1.8979e-02	1.4847e+03
88	3.4451e-01	2.8449e-01	-2.8398e-01	-2.2042e-01	2.2266e+02
89	5.2776e-01	3.8456e-02	2.0967e-01	1.3194e-02	2.8250e+03
90	5.2944e-01	3.2062e-01	5.3337e-01	-6.9682e-02	-1.1450e+02
91	9.4519e-02	2.7270e-01	8.0921e-02	1.3281e-01	4.3378e+02
92	3.1422e-01	2.8845e-01	-1.5124e-01	-1.9423e-01	4.2421e+02
93	2.0428e-01	1.8118e-01	-1.0294e-01	2.6922e-02	1.3242e+03
94	6.7849e-01	6.0589e-02	2.1212e-01	1.9277e-01	2.8281e+03
95	5.5127e-02	1.4461e-01	1.8169e-02	-8.0301e-02	1.4531e+03
96	8.1474e-01	1.9384e-01	4.2704e-01	-2.8888e-01	1.4833e+03
97	3.1217e-01	2.3367e-01	-4.3288e-01	-2.7295e-01	8.5246e+02
98	5.1066e-01	9.1936e-02	8.4839e-02	1.3937e-01	2.2170e+03
99	8.4460e-01	3.1575e-01	2.1053e-01	8.3441e-02	1.1118e+02
100	2.3103e-01	2.9807e-01	-1.8085e-01	8.6600e-02	3.1677e+02
101	1.4629e-01	2.1320e-01	6.9024e-02	4.5195e-02	9.8981e+02
102	8.2983e-01	2.7719e-01	2.3507e-01	-6.7026e-02	7.2917e+02
103	9.4197e-01	2.2252e-01	2.8246e-01	1.8523e-02	1.3055e+03
104	6.1691e-02	2.3325e-01	-1.2838e-01	1.5748e-01	8.0971e+02
105	2.9607e-01	8.2650e-02	1.8290e-02	-3.4147e-01	2.3059e+03
106	2.6362e-01	1.6716e-01	-1.1928e-01	-2.5531e-01	1.7063e+03
107	3.7064e-01	1.8199e-01	-2.7124e-01	-1.3178e-01	1.2288e+03
108	3.3009e-01	3.1196e-01	-1.6353e-01	-1.3454e-01	0.0000e+00
109	6.6511e-01	1.9575e-01	-1.1229e-01	-8.7625e-02	1.5694e+03
110	8.9619e-01	3.0792e-01	3.2270e-01	-1.1675e-01	5.9868e+02
111	6.8484e-01	2.3036e-01	3.4878e-01	-3.7636e-01	8.7676e+02
112	3.0583e-01	2.7429e-01	-1.5116e-01	-2.4803e-01	5.5935e+02
113	1.9508e-01	1.7703e-01	-1.9175e-01	6.3413e-03	1.3935e+03
114	1.6953e-01	2.9168e-01	-1.0713e-01	6.7086e-02	3.1942e+02
115	2.5223e+00	1.0153e+00	1.9602e+00	-2.7100e+00	0.0000e+00
116	5.9824e-01	3.0407e-01	4.0928e-01	-2.8407e-01	-1.5018e+02
117	7.3682e-01	1.9366e-01	3.3069e-01	-3.8094e-01	1.3306e+03
118	5.1484e-01	1.2799e-01	-3.5490e-03	2.8201e-01	1.7309e+03
119	1.3992e-01	2.5853e-01	4.2323e-03	1.7071e-01	6.6686e+02
120	8.7785e-01	2.8791e-01	4.1330e-01	-1.8055e-02	8.7669e+02
121	1.7932e-01	2.8097e-01	4.6134e-02	1.0424e-01	3.7047e+02
122	1.5758e-01	2.2529e-01	-1.3739e-01	5.6399e-02	9.1482e+02
123	5.9578e-01	2.1924e-01	-4.0733e-01	-2.1447e-02	1.0285e+03
124	2.1016e-01	1.2155e-01	-1.1486e-01	5.6743e-03	1.9211e+03
125	7.1518e-01	2.6369e-02	-4.5846e-02	-1.2521e-01	2.7903e+03
126	7.4486e-02	2.9283e-01	2.0429e-01	3.4435e-02	0.0000e+00
127	5.7902e-01	1.0469e-01	2.2531e-01	2.6006e-01	2.1836e+03
128	2.4683e-01	2.5602e-01	-1.4145e-02	-1.0071e-01	6.2455e+02
129	-1.3034e-03	7.9025e-02	1.0788e-01	3.2190e-03	1.9771e+03
130	6.9012e-01	3.1988e-01	4.3786e-01	-2.1954e-01	0.0000e+00
131	2.4200e-01	3.0216e-01	-2.8803e-01	-3.6219e-02	1.4532e+02
132	9.4460e-02	1.1086e-02	-5.1102e-03	-8.4897e-03	2.4360e+03
133	1.4794e-01	2.1753e-03	-1.6030e-01	-9.8854e-02	2.5401e+03
134	8.3620e-02	8.9108e-02	-7.9499e-02	-2.2752e-02	2.0043e+03
135	1.8606e-02	2.2682e-01	-5.3959e-02	5.4210e-02	8.7827e+02
136	1.0957e-01	2.6074e-01	3.7066e-02	4.5672e-02	5.8902e+02
137	6.1610e-02	2.6217e-01	5.5964e-02	3.0350e-02	4.7052e+02
138	3.2150e-01	6.9542e-02	1.4929e-01	-2.7234e-02	2.4989e+03
139	2.5274e-01	2.7576e-01	4.2671e-03	-1.0363e-01	4.1768e+02
140	2.0836e-01	2.3990e-01	-1.3660e-01	2.3604e-02	8.2994e+02
141	2.1068e-01	5.0375e-04	4.1752e-02	2.1268e-01	2.4102e+03
142	2.4829e-02	2.5858e-01	-5.7584e-02	8.8945e-02	4.0473e+02
143	1.0078e-01	1.2721e-01	-3.7563e-02	-1.7403e-02	1.7279e+03
144	2.7191e-01	2.7544e-01	-1.1880e-01	-1.1023e-02	7.1298e+02
145	1.8429e-01	2.5060e-01	-9.3438e-02	1.2038e-01	7.3212e+02
146	8.2077e-01	2.6642e-01	2.3997e-01	-1.6290e-01	1.0688e+03
147	1.2532e-01	1.7533e-01	8.2644e-04	3.4277e-02	1.3001e+03
148	1.0175e+00	2.8987e-01	4.2886e-01	1.1841e-02	4.8674e+02
149	2.7826e-01	1.1090e-02	3.7828e-02	-1.8703e-01	2.8016e+03
150	3.9814e-01	2.4997e-02	3.9067e-01	-7.5298e-02	2.7367e+03
